# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr2	46762951	46769141	-	hsa_circ_0054453	6190	6190	Helas3	NA	INTERGENIC	None	None	Salzman2013
chr19	12825634	12833462	-	hsa_circ_0049585	7828	1075	K562, Hsmm, Hepg2, Helas3, Nhek, Nhlf	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001136196	TNPO2	Salzman2013
chr17	80739464	80758872	+	hsa_circ_0046496	19408	312	K562, Helas3, A549, Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005993	TBCD	Salzman2013
chr19	8994141	9014704	-	hsa_circ_0049108	20563	3273	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024690	MUC16	Salzman2013
chr5	32419925	32444844	-	hsa_circ_0072105	24919	500	K562, Huvec, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_016107	ZFR	Salzman2013
chr11	120276826	120278532	+	hsa_circ_0024604	1706	110	K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015313	ARHGEF12	Salzman2013
chr19	10394156	10397291	+	hsa_circ_0049236	3135	2596	Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_000201	ICAM1	Salzman2013
chr16	89818545	89825113	-	hsa_circ_0041013	6568	214	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000135	FANCA	Salzman2013
chr14	75580905	75585638	-	hsa_circ_0032678	4733	349	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_033116	NEK9	Salzman2013
chr17	80012773	80014642	+	hsa_circ_0046317	1869	645	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_212492	GPS1	Salzman2013
chr2	36623756	36771641	+	hsa_circ_0053959	147885	2415	Nhek, Helas3, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_016441	CRIM1	Salzman2013
chr13	28771321	28835595	+	hsa_circ_0029849	64274	721	K562, Helas3, H1hesc, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_175854	PAN3	Salzman2013
chr3	169831147	169840532	-	hsa_circ_0006893	9385	565	Hs68_RNase, Hs68_control, Helas3, Ag04450, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024947	PHC3	Jeck2013, Salzman2013
chr9	97191470	97218619	+	hsa_circ_0087573	27149	922	Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032558	HIATL1	Salzman2013
chr19	6677845	6678298	-	hsa_circ_0048854	453	325	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000064	C3	Salzman2013
chr1	213037066	213061936	+	hsa_circ_0016408	24870	675	K562, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014053	FLVCR1	Salzman2013
chr5	156786012	156788606	+	hsa_circ_0003506	2594	366	Hs68_RNase, Hs68_control, Helas3, Gm12878, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001037332	CYFIP2	Jeck2013, Salzman2013
chr19	42373100	42375484	+	hsa_circ_0051245	2384	305	K562, Huvec, Hsmm, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001022	RPS19	Salzman2013
chr6_cox_hap2	4687551	4688091	+	hsa_circ_0078850	540	540	K562, Hmec, Helas3	NA	INTERGENIC	None	None	Salzman2013
chr15	91020896	91045475	+	hsa_circ_0036835	24579	4005	Nhek, K562, Huvec, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_003870	IQGAP1	Salzman2013
chr16	70564647	70582345	+	hsa_circ_0040254	17698	1005	Helas3, H1hesc, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_012426	SF3B3	Salzman2013
chr3	186337645	186339107	+	hsa_circ_0068453	1462	817	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001622	AHSG	Salzman2013
chr9	126371714	126641300	-	hsa_circ_0088457	269586	748	Hepg2, Helas3, H1hesc, Bj, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020946	DENND1A	Salzman2013
chr7	129813471	129821559	-	hsa_circ_0082344	8088	534	K562, Helas3, Gm12878, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032842	TMEM209	Salzman2013
chrX	132887508	132888203	-	hsa_circ_0091581	695	695	Hepg2, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164617	GPC3	Salzman2013
chr17	27184956	27188072	+	hsa_circ_0042713	3116	1326	Nhek, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_005702	ERAL1	Salzman2013
chr6	170844203	170844493	-	hsa_circ_0078778	290	290	K562, Huvec, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_002793	PSMB1	Salzman2013
chr1	155279854	155288544	+	hsa_circ_0014539	8690	576	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001135822	FDPS	Salzman2013
chr14	102493955	102507010	+	hsa_circ_0033344	13055	2893	Nhek, Huvec, Hsmm, Hmec, Hepg2, Helas3, Gm12878, Bj, A549, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001376	DYNC1H1	Salzman2013
chr22	38203911	38209616	+	hsa_circ_0063241	5705	717	K562, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_001171690	GCAT	Salzman2013
chr7	716865	720363	-	hsa_circ_0079048	3498	263	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, A549, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164761	PRKAR1B	Salzman2013
chr5	69792863	69796730	-	hsa_circ_0072838	3867	272	K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_034021	SMA5	Salzman2013
chr4	107229924	107230146	-	hsa_circ_0070603	222	222	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001163435	TBCK	Salzman2013
chr3	169820589	169867032	-	hsa_circ_0067893	46443	2187	K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024947	PHC3	Salzman2013
chr11	63585998	63595190	+	hsa_circ_0022611	9192	1118	K562, Huvec, Hsmm, Helas3, H1hesc, Gm12878, Ag04450, A549, Nhek, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_138471	C11orf84	Salzman2013
chr6	13579682	13584457	+	hsa_circ_0007218	4775	309	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_012241	SIRT5	Jeck2013, Salzman2013
chr7	74601105	74615445	-	hsa_circ_0080657	14340	2164	K562, Helas3, H1hesc, Ag04450, A549	NA	ALT_DONOR, INTERNAL, ncRNA, OVERLAPTX, OVEXON	NR_002206	GTF2IP1	Salzman2013
chr17	37863242	37866734	+	hsa_circ_0043460	3492	828	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001005862	ERBB2	Salzman2013
chr14	75567694	75570700	-	hsa_circ_0003670	3006	427	Hs68_RNase, Hs68_control, Nhek, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_033116	NEK9	Jeck2013, Salzman2013
chr10	7786044	7786243	+	hsa_circ_0017664	199	199	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002216	ITIH2	Salzman2013
chr1	33794470	33820854	-	hsa_circ_0011478	26384	1446	Nhek, Hsmm, Hmec, Helas3, Gm12878, Ag04450, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_198040	PHC2	Salzman2013
chr8	100205103	100287482	+	hsa_circ_0085072	82379	491	K562, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_017890	VPS13B	Salzman2013
chr1	155313104	155313277	-	hsa_circ_0014550	173	173	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018489	ASH1L	Salzman2013
chr10	134459371	134464009	+	hsa_circ_0020542	4638	189	Nhek, K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005539	INPP5A	Salzman2013
chr15	72491369	72492996	-	hsa_circ_0036178	1627	910	Nhek, K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001206796	PKM2	Salzman2013
chr6	43590369	43590541	-	hsa_circ_0076601	172	172	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_019096	GTPBP2	Salzman2013
chr12	70713077	70724249	+	hsa_circ_0027552	11172	398	Hepg2, Helas3, Gm12878, Sknshra	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_037615	CNOT2	Salzman2013
chr19	44238540	44244370	-	hsa_circ_0051364	5830	401	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_019108	SMG9	Salzman2013
chr2	85778047	85782713	-	hsa_circ_0055421	4666	1270	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_000821	GGCX	Salzman2013
chr1	154573516	154575102	-	hsa_circ_0014442	1586	1586	K562, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001193495	ADAR	Salzman2013
chr17	43364294	43364730	-	hsa_circ_0044173	436	328	Helas3	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003954	MAP3K14	Salzman2013
chr22	20940014	20940113	+	hsa_circ_0062330	99	99	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001003891	MED15	Salzman2013
chr8	113363403	113599464	-	hsa_circ_0085349	236061	2610	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_198123	CSMD3	Salzman2013
chr8	143381846	143399995	-	hsa_circ_0085800	18149	397	Helas3, Gm12878, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_145003	TSNARE1	Salzman2013
chr9	100079346	100079510	+	hsa_circ_0087658	164	164	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_036528	BDAG1	Salzman2013
chr14	70459133	70490164	+	hsa_circ_0032364	31031	765	Hepg2, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001034852	SMOC1	Salzman2013
chr7	50771517	50773020	-	hsa_circ_0080212	1503	272	K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Bj, Ag04450, A549	NA	ALT_ACCEPTOR, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_001001550	GRB10	Salzman2013
chr15	67457232	67459191	+	hsa_circ_0007561	1959	401	Hs68_RNase, Hs68_control, Nhek, K562, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005902	SMAD3	Jeck2013, Salzman2013
chr2	21227432	21245914	-	hsa_circ_0052895	18482	9299	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000384	APOB	Salzman2013
chr3	196094898	196098913	-	hsa_circ_0068647	4015	366	K562, Hepg2, Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015562	UBXN7	Salzman2013
chr12	105591542	105605095	-	hsa_circ_0027992	13553	785	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001251904	APPL2	Salzman2013
chr14	107160071	107160134	-	hsa_circ_0034026	63	63	Nhek, Huvec, Hepg2, Helas3, Bj, Ag04450, Nhlf, Sknshra, Mcf7	NA	INTERGENIC	None	None	Salzman2013
chr18	33783075	33785239	+	hsa_circ_0047442	2164	277	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017947	MOCOS	Salzman2013
chr16	1872300	1873038	-	hsa_circ_0037353	738	238	Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001040427	HAGH	Salzman2013
chr16	70286296	70287941	-	hsa_circ_0040159	1645	834	K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001605	AARS	Salzman2013
chrX	53596575	53627269	-	hsa_circ_0090752	30694	3553	K562, Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_031407	HUWE1	Salzman2013
chr1	202742245	202746222	-	hsa_circ_0003126	3977	372	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, H1hesc, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006618	KDM5B	Jeck2013, Salzman2013
chr10	99211427	99212680	+	hsa_circ_0019346	1253	561	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_198046	ZDHHC16	Salzman2013
chr3	114069120	114619189	-	hsa_circ_0066845	550069	2199	Helas3, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001164343	ZBTB20	Salzman2013
chr11	68170950	68183995	+	hsa_circ_0023202	13045	1443	Hepg2, Helas3, Gm12878, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002335	LRP5	Salzman2013
chr15	43120125	43132631	-	hsa_circ_0008319	12506	320	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_173500	TTBK2	Jeck2013, Salzman2013
chr3	58092406	58107230	+	hsa_circ_0066322	14824	1379	Nhek, Helas3, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164317	FLNB	Salzman2013
chr15	86076814	86087186	+	hsa_circ_0036641	10372	481	Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006738	AKAP13	Salzman2013
chr18	33688493	33703627	-	hsa_circ_0047418	15134	2360	Nhek, Huvec, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_012319	SLC39A6	Salzman2013
chr16	3724339	3727659	-	hsa_circ_0037642	3320	501	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016292	TRAP1	Salzman2013
chr21	33750753	33750850	-	hsa_circ_0061479	97	97	K562, Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014825	URB1	Salzman2013
chr22	37406905	37407366	-	hsa_circ_0063180	461	461	Helas3, H1hesc, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_003312	TST	Salzman2013
chr2	159459581	159477933	+	hsa_circ_0056780	18352	358	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003628	PKP4	Salzman2013
chr6	165862415	165957056	-	hsa_circ_0078639	94641	329	Helas3, A549	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_045597	PDE10A	Salzman2013
chr14	73440787	73465023	-	hsa_circ_0032487	24236	1618	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021260	ZFYVE1	Salzman2013
chr2	196544755	196593073	+	hsa_circ_0057553	48318	2348	Helas3, H1hesc, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001127257	SLC39A10	Salzman2013
chr6	116861525	116864563	-	hsa_circ_0077700	3038	198	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001139444	BET3L	Salzman2013
chr20	33597989	33609159	-	hsa_circ_0060027	11170	460	K562, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015638	TRPC4AP	Salzman2013
chr19	51305473	51305871	-	hsa_circ_0052032	398	202	Helas3	SINE	ANNOTATED, coding, INTERNAL, OVEXON, UTR5	NM_199249	C19orf48	Salzman2013
chr12	121706440	121708748	-	hsa_circ_0004756	2308	154	Hs68_RNase, Hs68_control, K562, Helas3, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006549	CAMKK2	Jeck2013, Salzman2013
chr7	2188786	2270359	-	hsa_circ_0079148	81573	1259	Hepg2, Helas3, Gm12878	DNA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001013837	MAD1L1	Salzman2013
chr7	138189034	138223548	+	hsa_circ_0082574	34514	779	K562, Hepg2, Helas3, H1hesc, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015905	TRIM24	Salzman2013
chr22	38879442	38882445	-	hsa_circ_0063308	3003	3003	Nhek, K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001098504	DDX17	Salzman2013
chr11	62334870	62335000	-	hsa_circ_0022445	130	130	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001404	EEF1G	Salzman2013
chr14	19653892	19656224	+	hsa_circ_0031092	2332	393	Helas3, A549, Sknshra	LINE, SINE	ANNOTATED, INTERNAL, ncRNA, OVEXON	TCONS_l2_00008291	TCONS_l2_00008291	Salzman2013
chr6	111708967	111709116	-	hsa_circ_0077654	149	149	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002912	REV3L	Salzman2013
chr1	225161792	225333081	+	hsa_circ_0016607	171289	3976	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001373	DNAH14	Salzman2013
chr7	98550789	98560050	+	hsa_circ_0081296	9261	1366	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001244580	TRRAP	Salzman2013
chr10	102019974	102027437	-	hsa_circ_0019508	7463	376	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_018294	CWF19L1	Salzman2013
chr3	48711277	48716890	-	hsa_circ_0065489	5613	1379	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_016453	NCKIPSD	Salzman2013
chr5	176910867	176915249	-	hsa_circ_0075205	4382	418	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005451	PDLIM7	Salzman2013
chr5	93978977	94027961	+	hsa_circ_0073374	48984	2264	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032290	ANKRD32	Salzman2013
chr17	47388673	47395345	-	hsa_circ_0044413	6672	1567	Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001145365	ZNF652	Salzman2013
chr16	16180680	16184445	+	hsa_circ_0008120	3765	352	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, Gm12878, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004996	ABCC1	Jeck2013, Salzman2013
chr11	68125117	68133170	+	hsa_circ_0023190	8053	527	K562, Hsmm, Hepg2, Helas3, Gm12878, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002335	LRP5	Salzman2013
chr7	130737183	130793562	-	hsa_circ_0082388	56379	1215	Hepg2, Helas3, Sknshra	DNA	ANNOTATED, ncRNA, OVEXON	NR_015431	FLJ43663	Salzman2013
chr17	60033040	60112969	-	hsa_circ_0045072	79929	5312	K562, Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005121	MED13	Salzman2013
chr1	23381561	23399896	+	hsa_circ_0010816	18335	944	K562, Helas3, H1hesc, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001009999	KDM1A	Salzman2013
chr10	89527429	89530798	-	hsa_circ_0019052	3369	141	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032810	ATAD1	Salzman2013
chr14	91939376	91939714	-	hsa_circ_0032963	338	235	Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032560	SMEK1	Salzman2013
chr5	179260586	179260782	+	hsa_circ_0075323	196	196	Huvec, Hepg2, Helas3, Bj, Ag04450, A549, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001142298	SQSTM1	Salzman2013
chr3	128984391	128985942	+	hsa_circ_0004271	1551	320	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016128	COPG	Jeck2013, Salzman2013
chr17	30500849	30519318	+	hsa_circ_0043003	18469	543	Nhek, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001033568	RHOT1	Salzman2013
chr8	143293440	143427253	-	hsa_circ_0085796	133813	1699	Helas3, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_145003	TSNARE1	Salzman2013
chr3	184070080	184075054	-	hsa_circ_0068353	4974	1412	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004366	CLCN2	Salzman2013
chr12	122181534	122190129	+	hsa_circ_0006030	8595	392	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001080825	TMEM120B	Jeck2013, Salzman2013
chr9	140646782	140657272	+	hsa_circ_0089722	10490	477	K562, Hepg2, Helas3, H1hesc, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024757	EHMT1	Salzman2013
chr2	61508224	61576021	-	hsa_circ_0054813	67797	3608	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014709	USP34	Salzman2013
chr11	67200596	67200918	+	hsa_circ_0023095	322	199	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003952	RPS6KB2	Salzman2013
chr9	20820939	20933102	+	hsa_circ_0086543	112163	1745	Hepg2, Helas3, Gm12878, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017794	KIAA1797	Salzman2013
chr15	89848345	89849425	+	hsa_circ_0006351	1080	479	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001113378	FANCI	Jeck2013, Salzman2013
chr10	126150340	126302710	+	hsa_circ_0020309	152370	1685	Nhek, Hepg2, Helas3, Bj, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_022126	LHPP	Salzman2013
chr1	11181302	11182183	-	hsa_circ_0009792	881	271	K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004958	MTOR	Salzman2013
chr9	111665842	111665949	-	hsa_circ_0087871	107	107	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003640	IKBKAP	Salzman2013
chr20	33632307	33645374	-	hsa_circ_0060038	13067	451	Huvec, Helas3, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015638	TRPC4AP	Salzman2013
chr9	111798485	111853435	-	hsa_circ_0087898	54950	1483	K562, Hsmm, Hepg2, Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032012	C9orf5	Salzman2013
chr4	77055327	77065626	-	hsa_circ_0070039	10299	643	K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017426	NUP54	Salzman2013
chr17	42430028	42430470	+	hsa_circ_0044074	442	442	Nhek, Huvec, Hsmm, Helas3, Bj, Ag04450, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_002087	GRN	Salzman2013
chr7	65429309	65432894	-	hsa_circ_0001712	3585	313	cd_19, Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, Gm12878, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000181	GUSB	Jeck2013, Memczak2013, Salzman2013
